playerId,playerName,LA_RAPM,LA_RAPM_Rank,LA_RAPM__Def,LA_RAPM__Def_Rank,LA_RAPM__Off,LA_RAPM__Off_Rank,RA_EFG,RA_EFG_Rank,RA_EFG__Def,RA_EFG__Def_Rank,RA_EFG__Off,RA_EFG__Off_Rank,RA_FTR,RA_FTR_Rank,RA_FTR__Def,RA_FTR__Def_Rank,RA_FTR__Off,RA_FTR__Off_Rank,RA_ORBD,RA_ORBD_Rank,RA_ORBD__Def,RA_ORBD__Def_Rank,RA_ORBD__Off,RA_ORBD__Off_Rank,RA_TOV,RA_TOV_Rank,RA_TOV__Def,RA_TOV__Def_Rank,RA_TOV__Off,RA_TOV__Off_Rank,RAPM,RAPM_Rank,RAPM__Def,RAPM__Def_Rank,RAPM__Off,RAPM__Off_Rank,season,teamId,teamName,primaryKey
1629738,"Vincent Poirier",-0.53,360,-0.18,306,-0.34,348,-0.08,255,0.05,228,-0.13,281,-0.87,441,-0.66,450,-0.21,338,-0.14,284,0.01,250,-0.12,285,-0.03,250,0.03,222,-0.05,275,-0.42,310,-0.08,282,-0.34,305,"2020-21",1610612755,"PHI","1629738_2020-21"
1626220,"Royce ONeale",0.24,183,-0.24,330,0.48,113,1.07,35,0.32,105,0.75,47,1.26,22,0.8,38,0.46,79,1.04,74,0.56,99,0.48,117,-0.51,418,-0.48,441,-0.03,264,2.32,25,0.78,79,1.54,43,"2020-21",1610612762,"UTA","1626220_2020-21"
1629011,"Mitchell Robinson",-0.11,270,0.07,223,-0.18,289,-0.31,342,0.64,39,-0.95,487,0.8,60,0.5,80,0.31,123,2.47,9,1.11,29,1.36,30,-0.73,449,-0.38,424,-0.35,409,0.32,176,1.59,22,-1.26,446,"2020-21",1610612752,"NYK","1629011_2020-21"
1630170,"Devin Vassell",0.34,160,0.85,56,-0.52,391,-0.46,382,-0.43,415,-0.04,235,-1.47,483,-0.24,342,-1.23,489,0.01,256,1.11,32,-1.11,454,0.43,97,0.39,73,0.03,220,-0.05,236,0.43,142,-0.48,341,"2020-21",1610612759,"SAS","1630170_2020-21"
1626246,"Boban Marjanovic",0.88,76,0.66,79,0.21,163,0.01,231,0.17,171,-0.18,305,1.14,33,0.95,26,0.19,166,2.26,12,1.3,12,0.95,56,0.05,220,-0.2,366,0.24,121,0.56,149,0.54,120,0.02,220,"2020-21",1610612742,"DAL","1626246_2020-21"
1629667,"Jalen McDaniels",-0.38,321,0.24,167,-0.61,408,-0.39,368,-0.58,446,0.19,154,0.27,165,0.19,158,0.08,212,-0.56,352,0.02,235,-0.58,401,-0.78,456,0.07,202,-0.85,480,-1.17,417,-0.58,390,-0.59,356,"2020-21",1610612766,"CHA","1629667_2020-21"
1627732,"Ben Simmons",1.13,53,0.52,105,0.61,91,0.88,56,0.01,265,0.89,35,1.71,8,0.19,159,1.52,4,1.37,46,1.29,15,0.08,219,-0.07,279,0.19,135,-0.26,389,1.95,41,0.81,76,1.14,69,"2020-21",1610612755,"PHI","1627732_2020-21"
1629117,"Wenyen Gabriel",0.31,164,0.21,181,0.1,195,0.01,225,0.01,258,0.01,216,0.33,147,0.08,211,0.25,145,0.3,184,0.05,230,0.25,170,0.07,211,0.07,203,0.01,245,0.2,191,0.16,197,0.04,209,"2020-21",1610612740,"NOP","1629117_2020-21"
1630177,"Theo Maledon",-1.87,479,0.32,142,-2.19,496,-0.65,411,0.07,217,-0.72,461,-0.82,431,0.01,241,-0.83,472,-1.98,483,0.05,228,-2.03,493,-0.62,435,0.11,181,-0.73,475,-2.25,477,0.29,164,-2.54,495,"2020-21",1610612760,"OKC","1630177_2020-21"
1627737,"Marquese Chriss",-0.32,310,0.1,212,-0.42,370,-0.52,389,-0.1,310,-0.42,404,0.12,205,0.03,236,0.1,205,0.16,218,0.34,141,-0.18,310,-0.2,330,-0.14,338,-0.06,282,-0.79,368,-0.2,313,-0.6,360,"2020-21",1610612744,"GSW","1627737_2020-21"
